City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,newman,37.3138,-121.0208,287.28,88,100,3.58,US,1708212339
1,carnarvon,-24.8667,113.6333,303.01,34,1,5.39,AU,1708212340
2,lebu,-37.6167,-73.65,288.06,77,0,11.17,CL,1708212341
3,puerto ayora,-0.7393,-90.3518,297.9,100,75,2.24,EC,1708212341
4,grytviken,-54.2811,-36.5092,278.72,78,81,1.32,GS,1708212342
5,adamstown,-25.066,-130.1015,297.79,81,99,5.53,PN,1708212343
6,beykonak,36.3257,30.303,287.0,73,15,2.17,TR,1708212343
7,namibe,-15.1961,12.1522,297.9,85,93,0.75,AO,1708212344
8,port-aux-francais,-49.35,70.2167,279.96,87,100,17.54,TF,1708212344
9,antsiranana,-12.2787,49.2917,300.11,84,100,5.96,MG,1708212345
10,pamandzi,-12.7967,45.2794,301.03,89,0,1.54,YT,1708212345
11,isafjordur,66.0755,-23.124,275.92,90,100,3.23,IS,1708212346
12,antonio enes,-16.2325,39.9086,300.07,85,48,2.91,MZ,1708212347
13,blackmans bay,-43.0167,147.3167,294.55,50,9,0.89,AU,1708212347
14,invercargill,-46.4,168.35,294.27,61,99,4.47,NZ,1708212348
15,mezhdurechenskiy,59.6,65.9333,245.64,100,91,1.6,RU,1708212348
16,bethel,41.3712,-73.414,272.6,61,100,4.12,US,1708212293
17,bredasdorp,-34.5322,20.0403,289.85,70,34,2.55,ZA,1708212349
18,bilibino,68.0546,166.4372,246.88,91,78,1.22,RU,1708212350
19,zaysan,47.4667,84.8667,243.07,90,78,1.06,KZ,1708212351
20,oamaru,-45.0784,170.9801,294.33,57,10,5.66,NZ,1708212352
21,tepelene,40.2958,20.0192,281.55,79,0,1.08,AL,1708212352
22,chengdu,30.6667,104.0667,284.09,76,40,2.0,CN,1708212353
23,lompoc,34.6391,-120.4579,290.25,64,100,4.12,US,1708212248
24,quellon,-43.1167,-73.6167,287.55,73,67,4.38,CL,1708212354
25,hadibu,12.65,54.0333,297.11,61,56,2.25,YE,1708212354
26,new norfolk,-42.7826,147.0587,295.21,52,10,2.67,AU,1708212355
27,crane,31.3974,-102.3501,280.47,31,23,5.93,US,1708212355
28,hithadhoo,-0.6,73.0833,299.79,87,100,8.23,MV,1708212356
29,hawaiian paradise park,19.5933,-154.9731,296.5,71,75,6.69,US,1708212356
30,cill airne,52.05,-9.5167,284.69,94,100,2.0,IE,1708212357
31,puerto natales,-51.7236,-72.4875,284.61,72,99,5.1,CL,1708212358
32,waitangi,-43.9535,-176.5597,289.67,93,100,6.5,NZ,1708212196
33,port mathurin,-19.6833,63.4167,299.72,73,12,8.45,MU,1708212359
34,wailua homesteads,22.0669,-159.378,297.39,48,0,7.72,US,1708212359
35,racine,42.7495,-88.0751,272.03,60,22,5.36,US,1708212360
36,san antonio de pale,-1.4014,5.6325,301.68,75,71,1.6,GQ,1708212361
37,'alaqahdari dishu,30.4374,63.313,293.19,34,98,2.49,AF,1708212361
38,afaahiti,-17.75,-149.2833,304.08,81,100,9.65,PF,1708212198
39,cabo san lucas,22.8909,-109.9124,300.16,48,0,4.02,MX,1708212362
40,tazacorte,28.629,-17.9293,292.69,73,75,5.66,ES,1708212363
41,margaret river,-33.95,115.0667,291.15,77,97,3.75,AU,1708212273
42,tinajo,29.0788,-13.7081,291.64,77,20,11.32,ES,1708212364
43,albany,42.6001,-73.9662,268.91,61,58,0.89,US,1708212365
44,i-n-salah,27.1935,2.4607,291.01,37,8,6.02,DZ,1708212365
45,ribeira grande,38.5167,-28.7,289.69,94,100,1.79,PT,1708212366
46,qaqortoq,60.7167,-46.0333,272.32,97,100,1.4,GL,1708212367
47,cascais,38.6979,-9.4215,288.99,84,96,6.26,PT,1708212367
48,jammalamadugu,14.8333,78.4,293.06,70,5,2.13,IN,1708212368
49,punta arenas,-53.15,-70.9167,285.21,71,75,10.29,CL,1708212202
50,pitimbu,-7.4706,-34.8086,301.48,79,11,3.98,BR,1708212369
51,iskateley,67.6803,53.1512,259.83,93,100,12.52,RU,1708212369
52,masterton,-40.9597,175.6575,296.0,45,78,2.98,NZ,1708212370
53,avarua,-21.2078,-159.775,301.18,61,40,3.09,CK,1708212370
54,evergreen,39.6333,-105.3172,274.58,60,2,0.89,US,1708212371
55,coquimbo,-29.9533,-71.3436,292.0,82,20,4.63,CL,1708212325
56,strelka,58.0728,93.0344,243.0,100,99,0.53,RU,1708212372
57,qarauyl,48.9451,79.255,242.65,94,10,1.71,KZ,1708212373
58,formosa do rio preto,-11.0483,-45.1931,297.01,88,99,0.44,BR,1708212373
59,pathein,16.7833,94.7333,293.59,64,0,3.42,MM,1708212374
60,geraldton,-28.7667,114.6,307.38,14,46,4.12,AU,1708212374
61,el calafate,-50.3408,-72.2768,285.46,62,60,4.51,AR,1708212375
62,berezovyy,51.6667,135.7,257.08,92,100,0.89,RU,1708212376
63,salekhard,66.53,66.6019,241.52,100,59,1.87,RU,1708212376
64,hammerfest,70.6634,23.6821,271.4,86,75,2.57,NO,1708212377
65,tiksi,71.6872,128.8694,235.01,100,79,2.2,RU,1708212377
66,pingzhuang,42.0372,119.2889,275.26,80,60,2.73,CN,1708212378
67,semera,11.501,41.201,297.26,68,7,7.77,ET,1708212379
68,plastun,44.7561,136.2939,272.63,98,100,2.06,RU,1708212379
69,bodo,67.28,14.405,273.17,74,75,2.06,NO,1708212380
70,talnakh,69.4865,88.3972,251.04,96,100,3.86,RU,1708212380
71,callao,-12.0667,-77.15,298.31,73,40,5.14,PE,1708212127
72,hami,42.8,93.45,257.78,59,3,2.44,CN,1708212381
73,severo-yeniseyskiy,60.3725,93.0408,236.06,100,100,1.16,RU,1708212382
74,nadym,65.5333,72.5167,247.05,85,41,4.91,RU,1708212382
75,stanley,54.868,-1.6985,284.1,93,20,3.09,GB,1708212383
76,kerikeri,-35.2268,173.9474,296.3,51,100,2.51,NZ,1708212384
77,itaueira,-7.6033,-43.0256,301.03,60,76,1.08,BR,1708212384
78,aasiaat,68.7098,-52.8699,256.74,99,61,0.37,GL,1708212385
79,calipatria,33.1256,-115.5142,299.42,32,100,0.56,US,1708212385
80,tazovsky,67.4667,78.7,246.14,93,96,3.44,RU,1708212386
81,sofo-birnin-gwari,11.0154,6.7804,295.04,18,75,3.99,NG,1708212386
82,nikolayevsk-on-amure,53.1406,140.73,260.08,94,100,1.33,RU,1708212387
83,saint-pierre,-21.3393,55.4781,299.97,69,0,10.29,RE,1708212387
84,howrah,22.5892,88.3103,291.15,94,0,0.0,IN,1708212388
85,iqaluit,63.7506,-68.5145,243.0,61,0,6.71,CA,1708212389
86,jamestown,42.097,-79.2353,268.92,82,100,3.13,US,1708212390
87,atafu village,-8.5421,-172.5159,301.87,76,100,9.52,TK,1708212390
88,bubaque,11.2833,-15.8333,299.6,76,1,4.85,GW,1708212391
89,papatowai,-46.5619,169.4708,292.62,48,100,3.36,NZ,1708212391
90,westport,41.1415,-73.3579,273.61,59,75,4.02,US,1708212209
91,edinburgh of the seven seas,-37.0676,-12.3116,288.8,75,100,8.32,SH,1708212393
92,longyearbyen,78.2186,15.6401,259.06,66,40,10.29,SJ,1708212393
93,nadi,-17.8,177.4167,303.15,70,40,3.6,FJ,1708212394
94,forde,61.4522,5.8572,274.15,74,51,1.54,NO,1708212395
95,fort st. john,56.2499,-120.8529,279.09,24,20,2.57,CA,1708212163
96,tolanaro,-25.0319,46.9987,297.19,94,75,6.69,MG,1708212396
97,ishigaki,24.3448,124.1572,295.22,78,75,5.14,JP,1708212396
98,fale old settlement,-9.3852,-171.2468,300.09,89,100,11.09,TK,1708212397
99,katra,32.9833,74.95,287.91,25,100,2.73,IN,1708212398
100,west island,-12.1568,96.8225,300.14,83,75,2.57,CC,1708212398
101,filingue,14.3521,3.3168,296.1,14,0,4.23,NE,1708212399
